0: tempo: 0.00021028518676757812, nodi: 5, explored_paths: 3, cost: 0
1: tempo: 0.00011539459228515625, nodi: 5, explored_paths: 3, cost: 0
2: tempo: 3.266334533691406e-05, nodi: 1, explored_paths: 0, cost: 0
3: tempo: 9.059906005859375e-05, nodi: 5, explored_paths: 3, cost: 0
4: tempo: 8.7738037109375e-05, nodi: 5, explored_paths: 3, cost: 0
5: tempo: 6.508827209472656e-05, nodi: 3, explored_paths: 1, cost: 1
6: tempo: 9.489059448242188e-05, nodi: 5, explored_paths: 3, cost: 0
7: tempo: 6.198883056640625e-05, nodi: 3, explored_paths: 1, cost: 1
8: tempo: 2.2649765014648438e-05, nodi: 1, explored_paths: 0, cost: 0
9: tempo: 2.1219253540039062e-05, nodi: 1, explored_paths: 0, cost: 0
10: tempo: 2.288818359375e-05, nodi: 1, explored_paths: 0, cost: 0
11: tempo: 2.193450927734375e-05, nodi: 1, explored_paths: 0, cost: 0
12: tempo: 8.7738037109375e-05, nodi: 5, explored_paths: 3, cost: 0
13: tempo: 8.797645568847656e-05, nodi: 5, explored_paths: 3, cost: 0
14: tempo: 8.821487426757812e-05, nodi: 5, explored_paths: 3, cost: 0
15: tempo: 9.131431579589844e-05, nodi: 5, explored_paths: 3, cost: 0
16: tempo: 9.202957153320312e-05, nodi: 5, explored_paths: 3, cost: 0
17: tempo: 8.463859558105469e-05, nodi: 5, explored_paths: 3, cost: 0
18: tempo: 8.988380432128906e-05, nodi: 5, explored_paths: 3, cost: 0
19: tempo: 4.124641418457031e-05, nodi: 1, explored_paths: 0, cost: 0
20: tempo: 5.030632019042969e-05, nodi: 1, explored_paths: 0, cost: 0
21: tempo: 0.00019407272338867188, nodi: 5, explored_paths: 3, cost: 0
22: tempo: 6.0558319091796875e-05, nodi: 1, explored_paths: 0, cost: 0
23: tempo: 0.00018072128295898438, nodi: 5, explored_paths: 3, cost: 0
24: tempo: 0.00017881393432617188, nodi: 5, explored_paths: 3, cost: 0
25: tempo: 0.0001983642578125, nodi: 5, explored_paths: 3, cost: 0
26: tempo: 0.0002224445343017578, nodi: 5, explored_paths: 3, cost: 0
27: tempo: 0.0002243518829345703, nodi: 5, explored_paths: 3, cost: 0
28: tempo: 0.00020599365234375, nodi: 5, explored_paths: 3, cost: 0
29: tempo: 8.916854858398438e-05, nodi: 2, explored_paths: 1, cost: 1
30: tempo: 0.00015544891357421875, nodi: 3, explored_paths: 1, cost: 1
31: tempo: 4.887580871582031e-05, nodi: 1, explored_paths: 0, cost: 0
32: tempo: 0.00014972686767578125, nodi: 3, explored_paths: 1, cost: 1
33: tempo: 0.00017261505126953125, nodi: 5, explored_paths: 3, cost: 0
34: tempo: 9.34600830078125e-05, nodi: 2, explored_paths: 1, cost: 1
35: tempo: 0.00014710426330566406, nodi: 5, explored_paths: 3, cost: 0
36: tempo: 0.0001533031463623047, nodi: 5, explored_paths: 3, cost: 0
37: tempo: 0.0001590251922607422, nodi: 5, explored_paths: 3, cost: 0
38: tempo: 0.00015544891357421875, nodi: 5, explored_paths: 3, cost: 0
39: tempo: 0.0001461505889892578, nodi: 5, explored_paths: 3, cost: 0
40: tempo: 0.00016808509826660156, nodi: 5, explored_paths: 3, cost: 0
41: tempo: 5.9604644775390625e-05, nodi: 1, explored_paths: 0, cost: 0
42: tempo: 0.00011658668518066406, nodi: 3, explored_paths: 1, cost: 1
43: tempo: 0.00011491775512695312, nodi: 3, explored_paths: 1, cost: 1
44: tempo: 0.0001575946807861328, nodi: 5, explored_paths: 3, cost: 0
45: tempo: 0.0001544952392578125, nodi: 5, explored_paths: 3, cost: 0
46: tempo: 0.00017833709716796875, nodi: 5, explored_paths: 3, cost: 0
47: tempo: 0.00016570091247558594, nodi: 5, explored_paths: 3, cost: 0
48: tempo: 0.00014138221740722656, nodi: 4, explored_paths: 2, cost: 2
49: tempo: 0.0001704692840576172, nodi: 5, explored_paths: 3, cost: 0
50: tempo: 0.00018835067749023438, nodi: 5, explored_paths: 3, cost: 0
51: tempo: 6.747245788574219e-05, nodi: 1, explored_paths: 0, cost: 0
52: tempo: 0.0002067089080810547, nodi: 5, explored_paths: 3, cost: 0
53: tempo: 0.00011873245239257812, nodi: 2, explored_paths: 1, cost: 1
54: tempo: 4.9591064453125e-05, nodi: 1, explored_paths: 0, cost: 0
55: tempo: 0.00013875961303710938, nodi: 3, explored_paths: 1, cost: 1
56: tempo: 4.696846008300781e-05, nodi: 1, explored_paths: 0, cost: 0
57: tempo: 8.893013000488281e-05, nodi: 2, explored_paths: 1, cost: 1
58: tempo: 8.082389831542969e-05, nodi: 2, explored_paths: 1, cost: 1
59: tempo: 0.00015091896057128906, nodi: 5, explored_paths: 3, cost: 0
60: tempo: 0.00012254714965820312, nodi: 3, explored_paths: 1, cost: 1
61: tempo: 5.602836608886719e-05, nodi: 1, explored_paths: 0, cost: 0
62: tempo: 0.0001404285430908203, nodi: 3, explored_paths: 1, cost: 1
63: tempo: 5.984306335449219e-05, nodi: 1, explored_paths: 0, cost: 0
64: tempo: 0.00013136863708496094, nodi: 3, explored_paths: 1, cost: 1
65: tempo: 5.412101745605469e-05, nodi: 1, explored_paths: 0, cost: 0
66: tempo: 0.00019240379333496094, nodi: 5, explored_paths: 3, cost: 0
67: tempo: 4.649162292480469e-05, nodi: 1, explored_paths: 0, cost: 0
68: tempo: 4.38690185546875e-05, nodi: 1, explored_paths: 0, cost: 0
69: tempo: 5.8650970458984375e-05, nodi: 1, explored_paths: 0, cost: 0
70: tempo: 0.00016260147094726562, nodi: 5, explored_paths: 3, cost: 0
71: tempo: 0.00016117095947265625, nodi: 5, explored_paths: 3, cost: 0
72: tempo: 4.124641418457031e-05, nodi: 1, explored_paths: 0, cost: 0
73: tempo: 7.510185241699219e-05, nodi: 2, explored_paths: 1, cost: 1
74: tempo: 0.00011110305786132812, nodi: 3, explored_paths: 1, cost: 1
75: tempo: 0.0001480579376220703, nodi: 5, explored_paths: 3, cost: 0
76: tempo: 3.647804260253906e-05, nodi: 1, explored_paths: 0, cost: 0
77: tempo: 0.00018024444580078125, nodi: 5, explored_paths: 3, cost: 0
78: tempo: 0.00019431114196777344, nodi: 5, explored_paths: 3, cost: 0
79: tempo: 6.890296936035156e-05, nodi: 1, explored_paths: 0, cost: 0
80: tempo: 6.318092346191406e-05, nodi: 1, explored_paths: 0, cost: 0
81: tempo: 5.650520324707031e-05, nodi: 1, explored_paths: 0, cost: 0
82: tempo: 5.078315734863281e-05, nodi: 1, explored_paths: 0, cost: 0
83: tempo: 0.00019431114196777344, nodi: 5, explored_paths: 3, cost: 0
84: tempo: 0.0001900196075439453, nodi: 5, explored_paths: 3, cost: 0
85: tempo: 5.888938903808594e-05, nodi: 1, explored_paths: 0, cost: 0
86: tempo: 4.696846008300781e-05, nodi: 1, explored_paths: 0, cost: 0
87: tempo: 0.0001518726348876953, nodi: 5, explored_paths: 3, cost: 0
88: tempo: 3.814697265625e-05, nodi: 1, explored_paths: 0, cost: 0
89: tempo: 0.00016021728515625, nodi: 5, explored_paths: 3, cost: 0
90: tempo: 0.0001723766326904297, nodi: 5, explored_paths: 3, cost: 0
91: tempo: 7.43865966796875e-05, nodi: 2, explored_paths: 1, cost: 1
92: tempo: 3.314018249511719e-05, nodi: 1, explored_paths: 0, cost: 0
93: tempo: 0.0001506805419921875, nodi: 5, explored_paths: 3, cost: 0
94: tempo: 0.000171661376953125, nodi: 5, explored_paths: 3, cost: 0
95: tempo: 0.0001583099365234375, nodi: 5, explored_paths: 3, cost: 0
96: tempo: 0.00015163421630859375, nodi: 5, explored_paths: 3, cost: 0
97: tempo: 0.00014138221740722656, nodi: 5, explored_paths: 3, cost: 0
98: tempo: 0.00017714500427246094, nodi: 5, explored_paths: 3, cost: 0
99: tempo: 0.00019168853759765625, nodi: 5, explored_paths: 3, cost: 0
100: tempo: 0.00020456314086914062, nodi: 5, explored_paths: 3, cost: 0
101: tempo: 0.0001888275146484375, nodi: 5, explored_paths: 3, cost: 0
102: tempo: 6.937980651855469e-05, nodi: 1, explored_paths: 0, cost: 0
103: tempo: 0.0001735687255859375, nodi: 4, explored_paths: 2, cost: 2
104: tempo: 0.0002028942108154297, nodi: 5, explored_paths: 3, cost: 0
105: tempo: 0.00016880035400390625, nodi: 5, explored_paths: 3, cost: 0
106: tempo: 0.00018262863159179688, nodi: 5, explored_paths: 3, cost: 0
107: tempo: 0.00018143653869628906, nodi: 5, explored_paths: 3, cost: 0
108: tempo: 0.00016427040100097656, nodi: 5, explored_paths: 3, cost: 0
109: tempo: 9.1552734375e-05, nodi: 2, explored_paths: 1, cost: 1
110: tempo: 0.0001232624053955078, nodi: 3, explored_paths: 1, cost: 1
111: tempo: 0.00018739700317382812, nodi: 5, explored_paths: 3, cost: 0
112: tempo: 4.76837158203125e-05, nodi: 1, explored_paths: 0, cost: 0
113: tempo: 4.506111145019531e-05, nodi: 1, explored_paths: 0, cost: 0
114: tempo: 0.00016307830810546875, nodi: 5, explored_paths: 3, cost: 0
115: tempo: 3.5762786865234375e-05, nodi: 1, explored_paths: 0, cost: 0
116: tempo: 3.838539123535156e-05, nodi: 1, explored_paths: 0, cost: 0
117: tempo: 0.00017309188842773438, nodi: 5, explored_paths: 3, cost: 0
118: tempo: 5.5789947509765625e-05, nodi: 1, explored_paths: 0, cost: 0
119: tempo: 0.00019931793212890625, nodi: 5, explored_paths: 3, cost: 0
120: tempo: 4.482269287109375e-05, nodi: 1, explored_paths: 0, cost: 0
121: tempo: 0.00015473365783691406, nodi: 5, explored_paths: 3, cost: 0
122: tempo: 6.127357482910156e-05, nodi: 1, explored_paths: 0, cost: 0
123: tempo: 0.00015783309936523438, nodi: 3, explored_paths: 1, cost: 1
124: tempo: 0.00013971328735351562, nodi: 3, explored_paths: 1, cost: 1
125: tempo: 0.0001068115234375, nodi: 2, explored_paths: 1, cost: 1
126: tempo: 6.151199340820312e-05, nodi: 1, explored_paths: 0, cost: 0
127: tempo: 0.0001385211944580078, nodi: 3, explored_paths: 1, cost: 1
128: tempo: 0.0002148151397705078, nodi: 5, explored_paths: 3, cost: 0
129: tempo: 3.7670135498046875e-05, nodi: 1, explored_paths: 0, cost: 0
130: tempo: 0.0001220703125, nodi: 5, explored_paths: 3, cost: 0
131: tempo: 0.00012230873107910156, nodi: 5, explored_paths: 3, cost: 0
132: tempo: 3.314018249511719e-05, nodi: 1, explored_paths: 0, cost: 0
133: tempo: 0.00010013580322265625, nodi: 5, explored_paths: 3, cost: 0
134: tempo: 2.384185791015625e-05, nodi: 1, explored_paths: 0, cost: 0
135: tempo: 2.1219253540039062e-05, nodi: 1, explored_paths: 0, cost: 0
136: tempo: 8.320808410644531e-05, nodi: 5, explored_paths: 3, cost: 0
137: tempo: 2.288818359375e-05, nodi: 1, explored_paths: 0, cost: 0
138: tempo: 0.00013136863708496094, nodi: 5, explored_paths: 3, cost: 0
139: tempo: 0.00012063980102539062, nodi: 3, explored_paths: 1, cost: 1
140: tempo: 4.9114227294921875e-05, nodi: 1, explored_paths: 0, cost: 0
141: tempo: 0.00018262863159179688, nodi: 5, explored_paths: 3, cost: 0
142: tempo: 5.7220458984375e-05, nodi: 1, explored_paths: 0, cost: 0
143: tempo: 0.00015234947204589844, nodi: 3, explored_paths: 1, cost: 1
144: tempo: 0.000148773193359375, nodi: 3, explored_paths: 1, cost: 1
145: tempo: 0.0001595020294189453, nodi: 5, explored_paths: 3, cost: 0
146: tempo: 0.00016117095947265625, nodi: 5, explored_paths: 3, cost: 0
147: tempo: 4.863739013671875e-05, nodi: 1, explored_paths: 0, cost: 0
148: tempo: 5.0067901611328125e-05, nodi: 1, explored_paths: 0, cost: 0
149: tempo: 0.00018405914306640625, nodi: 5, explored_paths: 3, cost: 0
150: tempo: 5.030632019042969e-05, nodi: 1, explored_paths: 0, cost: 0
151: tempo: 9.226799011230469e-05, nodi: 2, explored_paths: 1, cost: 1
152: tempo: 0.00015664100646972656, nodi: 5, explored_paths: 3, cost: 0
153: tempo: 4.649162292480469e-05, nodi: 1, explored_paths: 0, cost: 0
154: tempo: 0.0001671314239501953, nodi: 5, explored_paths: 3, cost: 0
155: tempo: 8.988380432128906e-05, nodi: 2, explored_paths: 1, cost: 1
156: tempo: 4.00543212890625e-05, nodi: 1, explored_paths: 0, cost: 0
157: tempo: 0.00015974044799804688, nodi: 5, explored_paths: 3, cost: 0
158: tempo: 3.504753112792969e-05, nodi: 1, explored_paths: 0, cost: 0
159: tempo: 3.6716461181640625e-05, nodi: 1, explored_paths: 0, cost: 0
160: tempo: 0.00015616416931152344, nodi: 5, explored_paths: 3, cost: 0
161: tempo: 4.1961669921875e-05, nodi: 1, explored_paths: 0, cost: 0
162: tempo: 0.0001437664031982422, nodi: 5, explored_paths: 3, cost: 0
163: tempo: 0.00013685226440429688, nodi: 5, explored_paths: 3, cost: 0
164: tempo: 0.00014543533325195312, nodi: 5, explored_paths: 3, cost: 0
165: tempo: 0.00013756752014160156, nodi: 5, explored_paths: 3, cost: 0
166: tempo: 0.00014853477478027344, nodi: 5, explored_paths: 3, cost: 0
167: tempo: 9.584426879882812e-05, nodi: 5, explored_paths: 3, cost: 0
168: tempo: 2.86102294921875e-05, nodi: 1, explored_paths: 0, cost: 0
169: tempo: 3.0517578125e-05, nodi: 1, explored_paths: 0, cost: 0
170: tempo: 0.00015735626220703125, nodi: 5, explored_paths: 3, cost: 0
171: tempo: 0.0001494884490966797, nodi: 5, explored_paths: 3, cost: 0
172: tempo: 0.00017976760864257812, nodi: 5, explored_paths: 3, cost: 0
173: tempo: 0.00012373924255371094, nodi: 5, explored_paths: 3, cost: 0
174: tempo: 0.00012922286987304688, nodi: 5, explored_paths: 3, cost: 0
175: tempo: 7.987022399902344e-05, nodi: 3, explored_paths: 1, cost: 1
176: tempo: 7.581710815429688e-05, nodi: 3, explored_paths: 1, cost: 1
177: tempo: 2.7894973754882812e-05, nodi: 1, explored_paths: 0, cost: 0
178: tempo: 9.989738464355469e-05, nodi: 5, explored_paths: 3, cost: 0
179: tempo: 0.00010085105895996094, nodi: 5, explored_paths: 3, cost: 0
180: tempo: 8.7738037109375e-05, nodi: 5, explored_paths: 3, cost: 0
181: tempo: 0.00014638900756835938, nodi: 5, explored_paths: 3, cost: 0
182: tempo: 6.389617919921875e-05, nodi: 3, explored_paths: 1, cost: 1
183: tempo: 8.630752563476562e-05, nodi: 5, explored_paths: 3, cost: 0
184: tempo: 8.654594421386719e-05, nodi: 5, explored_paths: 3, cost: 0
185: tempo: 8.344650268554688e-05, nodi: 5, explored_paths: 3, cost: 0
186: tempo: 7.62939453125e-05, nodi: 4, explored_paths: 2, cost: 2
187: tempo: 7.081031799316406e-05, nodi: 3, explored_paths: 1, cost: 1
188: tempo: 5.841255187988281e-05, nodi: 2, explored_paths: 1, cost: 1
189: tempo: 0.00014281272888183594, nodi: 5, explored_paths: 3, cost: 0
190: tempo: 9.655952453613281e-05, nodi: 5, explored_paths: 3, cost: 0
191: tempo: 2.574920654296875e-05, nodi: 1, explored_paths: 0, cost: 0
192: tempo: 8.893013000488281e-05, nodi: 5, explored_paths: 3, cost: 0
193: tempo: 9.512901306152344e-05, nodi: 5, explored_paths: 3, cost: 0
194: tempo: 5.7220458984375e-05, nodi: 2, explored_paths: 1, cost: 1
195: tempo: 5.125999450683594e-05, nodi: 2, explored_paths: 1, cost: 1
196: tempo: 5.745887756347656e-05, nodi: 2, explored_paths: 1, cost: 1
197: tempo: 9.608268737792969e-05, nodi: 5, explored_paths: 3, cost: 0
198: tempo: 9.942054748535156e-05, nodi: 5, explored_paths: 3, cost: 0
199: tempo: 8.797645568847656e-05, nodi: 5, explored_paths: 3, cost: 0
