0: tempo: 3.4809112548828125e-05, nodi: 1, explored_paths: 0, cost: 0
1: tempo: 0.0019507408142089844, nodi: 35, explored_paths: 8, cost: 5
2: tempo: 0.0001780986785888672, nodi: 5, explored_paths: 1, cost: 1
3: tempo: 0.0033986568450927734, nodi: 39, explored_paths: 9, cost: 5
4: tempo: 0.00022077560424804688, nodi: 5, explored_paths: 1, cost: 1
5: tempo: 0.003004312515258789, nodi: 47, explored_paths: 12, cost: 4
6: tempo: 0.00011682510375976562, nodi: 5, explored_paths: 1, cost: 1
7: tempo: 0.0024776458740234375, nodi: 57, explored_paths: 15, cost: 5
8: tempo: 0.0010409355163574219, nodi: 29, explored_paths: 7, cost: 4
9: tempo: 0.0020492076873779297, nodi: 47, explored_paths: 11, cost: 4
10: tempo: 0.0003628730773925781, nodi: 13, explored_paths: 3, cost: 3
11: tempo: 0.001951456069946289, nodi: 41, explored_paths: 10, cost: 5
12: tempo: 0.0008587837219238281, nodi: 19, explored_paths: 4, cost: 3
13: tempo: 0.0034580230712890625, nodi: 63, explored_paths: 16, cost: 5
14: tempo: 0.004414796829223633, nodi: 71, explored_paths: 18, cost: 6
15: tempo: 0.0005109310150146484, nodi: 15, explored_paths: 3, cost: 3
16: tempo: 0.0008842945098876953, nodi: 21, explored_paths: 5, cost: 3
17: tempo: 0.0001327991485595703, nodi: 5, explored_paths: 1, cost: 1
18: tempo: 0.0008733272552490234, nodi: 23, explored_paths: 5, cost: 3
19: tempo: 0.001203775405883789, nodi: 31, explored_paths: 7, cost: 3
20: tempo: 0.0046422481536865234, nodi: 71, explored_paths: 19, cost: 5
21: tempo: 0.0007598400115966797, nodi: 21, explored_paths: 5, cost: 3
22: tempo: 0.0022284984588623047, nodi: 49, explored_paths: 13, cost: 5
23: tempo: 0.0013527870178222656, nodi: 33, explored_paths: 7, cost: 4
24: tempo: 0.0009191036224365234, nodi: 23, explored_paths: 5, cost: 3
25: tempo: 0.00011157989501953125, nodi: 5, explored_paths: 1, cost: 1
26: tempo: 0.00029850006103515625, nodi: 11, explored_paths: 2, cost: 2
27: tempo: 0.00033164024353027344, nodi: 11, explored_paths: 2, cost: 2
28: tempo: 0.002664804458618164, nodi: 61, explored_paths: 15, cost: 5
29: tempo: 0.0008335113525390625, nodi: 27, explored_paths: 7, cost: 3
30: tempo: 0.003217458724975586, nodi: 57, explored_paths: 15, cost: 5
31: tempo: 7.2479248046875e-05, nodi: 1, explored_paths: 0, cost: 0
32: tempo: 0.0011088848114013672, nodi: 15, explored_paths: 3, cost: 2
33: tempo: 0.0011730194091796875, nodi: 21, explored_paths: 5, cost: 3
34: tempo: 0.0007619857788085938, nodi: 13, explored_paths: 3, cost: 3
35: tempo: 0.0014760494232177734, nodi: 19, explored_paths: 4, cost: 3
36: tempo: 0.0005652904510498047, nodi: 9, explored_paths: 2, cost: 2
37: tempo: 0.0007951259613037109, nodi: 11, explored_paths: 2, cost: 2
38: tempo: 0.0030088424682617188, nodi: 57, explored_paths: 15, cost: 5
39: tempo: 0.0017316341400146484, nodi: 37, explored_paths: 9, cost: 4
40: tempo: 0.001031637191772461, nodi: 23, explored_paths: 5, cost: 4
41: tempo: 0.007591962814331055, nodi: 77, explored_paths: 17, cost: 5
