0: tempo: 14.190679550170898, nodi: 3861, explored_paths: 270, cost: 7
1: tempo: 8.95060420036316, nodi: 2713, explored_paths: 176, cost: 7
2: tempo: 0.5316364765167236, nodi: 677, explored_paths: 46, cost: 6
3: tempo: 0.33974313735961914, nodi: 497, explored_paths: 33, cost: 6
4: tempo: 0.04792356491088867, nodi: 133, explored_paths: 8, cost: 5
5: tempo: 2.9610888957977295, nodi: 1697, explored_paths: 116, cost: 6
6: tempo: 0.748384952545166, nodi: 797, explored_paths: 50, cost: 6
7: tempo: 0.2845315933227539, nodi: 513, explored_paths: 35, cost: 5
8: tempo: 6.453315019607544, nodi: 2713, explored_paths: 193, cost: 6
9: tempo: 0.07172632217407227, nodi: 197, explored_paths: 12, cost: 3
10: tempo: 0.8887989521026611, nodi: 853, explored_paths: 55, cost: 6
11: tempo: 24.19258952140808, nodi: 5161, explored_paths: 371, cost: 8
12: tempo: 6.16466212272644, nodi: 2325, explored_paths: 161, cost: 7
13: tempo: 3.143063545227051, nodi: 1633, explored_paths: 106, cost: 7
14: tempo: 0.9684395790100098, nodi: 921, explored_paths: 61, cost: 6
15: tempo: 10.101047039031982, nodi: 3217, explored_paths: 226, cost: 7
16: tempo: 0.002775430679321289, nodi: 37, explored_paths: 3, cost: 3
17: tempo: 3.961500883102417, nodi: 1913, explored_paths: 124, cost: 7
18: tempo: 0.149491548538208, nodi: 345, explored_paths: 22, cost: 6
19: tempo: 3.1559789180755615, nodi: 1737, explored_paths: 122, cost: 7
20: tempo: 0.28542256355285645, nodi: 497, explored_paths: 32, cost: 6
21: tempo: 0.07359075546264648, nodi: 229, explored_paths: 16, cost: 5
22: tempo: 2.122911214828491, nodi: 1365, explored_paths: 92, cost: 6
23: tempo: 0.09623980522155762, nodi: 261, explored_paths: 16, cost: 4
24: tempo: 2.829981803894043, nodi: 1637, explored_paths: 110, cost: 6
25: tempo: 2.9920663833618164, nodi: 1613, explored_paths: 103, cost: 7
26: tempo: 3.426840305328369, nodi: 1745, explored_paths: 119, cost: 6
27: tempo: 6.547296047210693, nodi: 2469, explored_paths: 164, cost: 7
28: tempo: 6.967487573623657, nodi: 2813, explored_paths: 204, cost: 7
29: tempo: 10.39481258392334, nodi: 3197, explored_paths: 227, cost: 7
30: tempo: 9.644605875015259, nodi: 3041, explored_paths: 202, cost: 7
31: tempo: 3.5068507194519043, nodi: 1765, explored_paths: 116, cost: 6
32: tempo: 1.50533127784729, nodi: 1213, explored_paths: 93, cost: 6
33: tempo: 0.15840935707092285, nodi: 357, explored_paths: 22, cost: 6
34: tempo: 0.43761539459228516, nodi: 605, explored_paths: 39, cost: 5
35: tempo: 0.11803221702575684, nodi: 285, explored_paths: 17, cost: 5
36: tempo: 2.1428942680358887, nodi: 1389, explored_paths: 95, cost: 6
37: tempo: 0.038083553314208984, nodi: 153, explored_paths: 9, cost: 5
38: tempo: 3.011369228363037, nodi: 1577, explored_paths: 102, cost: 7
39: tempo: 1.281306266784668, nodi: 1037, explored_paths: 68, cost: 7
40: tempo: 22.418039560317993, nodi: 5309, explored_paths: 390, cost: 8
41: tempo: 0.06814098358154297, nodi: 221, explored_paths: 15, cost: 6
42: tempo: 0.06274628639221191, nodi: 209, explored_paths: 13, cost: 5
43: tempo: 0.008655786514282227, nodi: 69, explored_paths: 5, cost: 3
44: tempo: 0.8145220279693604, nodi: 809, explored_paths: 50, cost: 6
45: tempo: 0.35627293586730957, nodi: 485, explored_paths: 29, cost: 5
46: tempo: 0.050179481506347656, nodi: 177, explored_paths: 11, cost: 5
47: tempo: 0.08435726165771484, nodi: 229, explored_paths: 14, cost: 5
48: tempo: 0.3823702335357666, nodi: 529, explored_paths: 34, cost: 5
49: tempo: 0.0516057014465332, nodi: 193, explored_paths: 14, cost: 4
50: tempo: 8.302888870239258, nodi: 2809, explored_paths: 186, cost: 7
51: tempo: 4.5949506759643555, nodi: 2185, explored_paths: 163, cost: 7
52: tempo: 0.16513538360595703, nodi: 357, explored_paths: 22, cost: 5
53: tempo: 0.5074465274810791, nodi: 641, explored_paths: 39, cost: 6
54: tempo: 0.04168438911437988, nodi: 177, explored_paths: 12, cost: 5
55: tempo: 0.021600008010864258, nodi: 117, explored_paths: 7, cost: 4
56: tempo: 0.379183292388916, nodi: 573, explored_paths: 44, cost: 5
57: tempo: 0.24840116500854492, nodi: 409, explored_paths: 25, cost: 6
58: tempo: 0.07481718063354492, nodi: 233, explored_paths: 16, cost: 4
59: tempo: 0.7974302768707275, nodi: 781, explored_paths: 50, cost: 6
60: tempo: 4.5636067390441895, nodi: 2001, explored_paths: 134, cost: 7
61: tempo: 6.1748597621917725, nodi: 2545, explored_paths: 181, cost: 6
62: tempo: 1.4638347625732422, nodi: 1197, explored_paths: 85, cost: 6
63: tempo: 0.6970887184143066, nodi: 725, explored_paths: 50, cost: 6
64: tempo: 0.20929622650146484, nodi: 409, explored_paths: 25, cost: 4
65: tempo: 5.296294927597046, nodi: 2197, explored_paths: 145, cost: 7
66: tempo: 0.10544919967651367, nodi: 277, explored_paths: 17, cost: 5
67: tempo: 0.49129438400268555, nodi: 637, explored_paths: 41, cost: 6
68: tempo: 1.7395930290222168, nodi: 1333, explored_paths: 96, cost: 6
69: tempo: 4.053540229797363, nodi: 1993, explored_paths: 141, cost: 6
70: tempo: 0.26848316192626953, nodi: 457, explored_paths: 28, cost: 6
71: tempo: 0.46369433403015137, nodi: 581, explored_paths: 37, cost: 6
72: tempo: 0.27912449836730957, nodi: 469, explored_paths: 33, cost: 6
73: tempo: 0.11098027229309082, nodi: 289, explored_paths: 17, cost: 5
74: tempo: 0.050081491470336914, nodi: 189, explored_paths: 14, cost: 5
75: tempo: 0.02554917335510254, nodi: 129, explored_paths: 8, cost: 5
76: tempo: 1.0822947025299072, nodi: 989, explored_paths: 65, cost: 7
77: tempo: 0.01198720932006836, nodi: 85, explored_paths: 5, cost: 3
78: tempo: 16.20549488067627, nodi: 3977, explored_paths: 282, cost: 6
79: tempo: 0.04267430305480957, nodi: 153, explored_paths: 9, cost: 5
80: tempo: 0.0054819583892822266, nodi: 53, explored_paths: 4, cost: 3
81: tempo: 0.02515721321105957, nodi: 117, explored_paths: 7, cost: 4
82: tempo: 2.8858346939086914, nodi: 1597, explored_paths: 108, cost: 7
83: tempo: 1.1970338821411133, nodi: 1045, explored_paths: 73, cost: 7
84: tempo: 0.07780337333679199, nodi: 241, explored_paths: 18, cost: 6
85: tempo: 1.650334358215332, nodi: 1069, explored_paths: 69, cost: 7
86: tempo: 0.2196183204650879, nodi: 413, explored_paths: 27, cost: 5
87: tempo: 0.280792236328125, nodi: 433, explored_paths: 26, cost: 6
88: tempo: 0.040332794189453125, nodi: 161, explored_paths: 10, cost: 5
89: tempo: 0.11573433876037598, nodi: 285, explored_paths: 17, cost: 5
90: tempo: 0.4216125011444092, nodi: 553, explored_paths: 38, cost: 5
91: tempo: 0.44773340225219727, nodi: 597, explored_paths: 37, cost: 6
92: tempo: 5.1432554721832275, nodi: 2141, explored_paths: 142, cost: 7
93: tempo: 1.2218589782714844, nodi: 1037, explored_paths: 70, cost: 6
94: tempo: 0.26889562606811523, nodi: 409, explored_paths: 28, cost: 5
95: tempo: 0.0809779167175293, nodi: 237, explored_paths: 17, cost: 6
96: tempo: 15.721421003341675, nodi: 3949, explored_paths: 279, cost: 7
97: tempo: 1.8338394165039062, nodi: 1165, explored_paths: 84, cost: 6
98: tempo: 0.27806663513183594, nodi: 449, explored_paths: 30, cost: 5
99: tempo: 0.2953503131866455, nodi: 461, explored_paths: 29, cost: 5
100: tempo: 0.2697136402130127, nodi: 449, explored_paths: 31, cost: 6
101: tempo: 0.11166548728942871, nodi: 265, explored_paths: 17, cost: 5
102: tempo: 0.5644752979278564, nodi: 633, explored_paths: 42, cost: 5
103: tempo: 26.77470827102661, nodi: 6097, explored_paths: 457, cost: 8
104: tempo: 0.39415907859802246, nodi: 561, explored_paths: 34, cost: 6
105: tempo: 4.096528768539429, nodi: 2057, explored_paths: 141, cost: 7
106: tempo: 11.553081035614014, nodi: 3305, explored_paths: 223, cost: 7
107: tempo: 0.10519647598266602, nodi: 293, explored_paths: 21, cost: 4
108: tempo: 4.126107215881348, nodi: 1913, explored_paths: 129, cost: 6
109: tempo: 6.28644585609436, nodi: 2373, explored_paths: 162, cost: 7
110: tempo: 0.0005922317504882812, nodi: 13, explored_paths: 1, cost: 1
111: tempo: 6.901864051818848, nodi: 2361, explored_paths: 155, cost: 7
112: tempo: 0.017238855361938477, nodi: 101, explored_paths: 6, cost: 4
113: tempo: 0.0524594783782959, nodi: 185, explored_paths: 12, cost: 5
114: tempo: 0.2822089195251465, nodi: 445, explored_paths: 29, cost: 5
