0: tempo: 0.21985936164855957, nodi: 449, explored_paths: 29, cost: 4
1: tempo: 9.230943202972412, nodi: 3217, explored_paths: 261, cost: 7
2: tempo: 0.004807949066162109, nodi: 53, explored_paths: 3, cost: 3
3: tempo: 0.38788270950317383, nodi: 573, explored_paths: 43, cost: 5
4: tempo: 2.7048680782318115, nodi: 1593, explored_paths: 123, cost: 7
5: tempo: 0.04463768005371094, nodi: 173, explored_paths: 10, cost: 4
6: tempo: 0.04149174690246582, nodi: 177, explored_paths: 13, cost: 4
7: tempo: 0.02786874771118164, nodi: 137, explored_paths: 9, cost: 4
8: tempo: 2.3301031589508057, nodi: 1445, explored_paths: 112, cost: 6
9: tempo: 6.415985107421875, nodi: 2549, explored_paths: 181, cost: 7
10: tempo: 0.15677237510681152, nodi: 353, explored_paths: 24, cost: 6
11: tempo: 0.3684520721435547, nodi: 577, explored_paths: 45, cost: 6
12: tempo: 0.010978221893310547, nodi: 81, explored_paths: 5, cost: 4
13: tempo: 0.3922922611236572, nodi: 593, explored_paths: 46, cost: 6
14: tempo: 0.9527897834777832, nodi: 949, explored_paths: 83, cost: 6
15: tempo: 1.0979375839233398, nodi: 941, explored_paths: 62, cost: 6
16: tempo: 7.244310617446899, nodi: 2693, explored_paths: 206, cost: 6
17: tempo: 0.8235845565795898, nodi: 829, explored_paths: 60, cost: 6
18: tempo: 2.6657330989837646, nodi: 1597, explored_paths: 115, cost: 7
19: tempo: 0.4100325107574463, nodi: 569, explored_paths: 38, cost: 6
20: tempo: 0.09109878540039062, nodi: 261, explored_paths: 21, cost: 6
21: tempo: 0.8911182880401611, nodi: 865, explored_paths: 58, cost: 7
22: tempo: 0.3378880023956299, nodi: 505, explored_paths: 34, cost: 6
23: tempo: 1.2583527565002441, nodi: 1021, explored_paths: 70, cost: 6
24: tempo: 1.9836578369140625, nodi: 1453, explored_paths: 120, cost: 6
25: tempo: 0.017126083374023438, nodi: 101, explored_paths: 6, cost: 4
26: tempo: 5.44213604927063, nodi: 2721, explored_paths: 207, cost: 7
27: tempo: 0.2762305736541748, nodi: 453, explored_paths: 32, cost: 6
28: tempo: 2.7403063774108887, nodi: 1777, explored_paths: 151, cost: 8
29: tempo: 0.18068742752075195, nodi: 349, explored_paths: 22, cost: 6
30: tempo: 0.44593191146850586, nodi: 609, explored_paths: 42, cost: 6
31: tempo: 6.780011177062988, nodi: 2569, explored_paths: 201, cost: 7
32: tempo: 0.05301308631896973, nodi: 197, explored_paths: 14, cost: 6
33: tempo: 0.012810945510864258, nodi: 93, explored_paths: 7, cost: 5
34: tempo: 0.18413925170898438, nodi: 361, explored_paths: 27, cost: 6
35: tempo: 0.1086738109588623, nodi: 289, explored_paths: 22, cost: 4
36: tempo: 0.06332898139953613, nodi: 197, explored_paths: 13, cost: 5
37: tempo: 50.42512536048889, nodi: 8425, explored_paths: 668, cost: 8
38: tempo: 0.01864147186279297, nodi: 101, explored_paths: 6, cost: 4
39: tempo: 1.7248666286468506, nodi: 1281, explored_paths: 97, cost: 6
40: tempo: 0.016415834426879883, nodi: 101, explored_paths: 6, cost: 5
41: tempo: 0.13730311393737793, nodi: 257, explored_paths: 15, cost: 5
42: tempo: 0.42047786712646484, nodi: 581, explored_paths: 41, cost: 5
43: tempo: 1.873213768005371, nodi: 1429, explored_paths: 106, cost: 6
44: tempo: 0.03104543685913086, nodi: 145, explored_paths: 10, cost: 4
45: tempo: 4.581172227859497, nodi: 2233, explored_paths: 171, cost: 7
46: tempo: 0.007100343704223633, nodi: 65, explored_paths: 4, cost: 4
47: tempo: 0.16896486282348633, nodi: 357, explored_paths: 23, cost: 5
48: tempo: 4.146074295043945, nodi: 1857, explored_paths: 128, cost: 7
49: tempo: 0.007234096527099609, nodi: 65, explored_paths: 4, cost: 4
50: tempo: 0.8433959484100342, nodi: 913, explored_paths: 68, cost: 6
51: tempo: 1.3804223537445068, nodi: 1077, explored_paths: 65, cost: 7
52: tempo: 0.13774919509887695, nodi: 329, explored_paths: 20, cost: 5
53: tempo: 1.9900898933410645, nodi: 1361, explored_paths: 102, cost: 7
54: tempo: 0.2382645606994629, nodi: 397, explored_paths: 26, cost: 5
55: tempo: 1.0661532878875732, nodi: 957, explored_paths: 72, cost: 6
56: tempo: 0.016930818557739258, nodi: 105, explored_paths: 10, cost: 6
57: tempo: 0.005936384201049805, nodi: 53, explored_paths: 3, cost: 3
58: tempo: 1.2600677013397217, nodi: 1109, explored_paths: 98, cost: 6
59: tempo: 0.3881196975708008, nodi: 513, explored_paths: 34, cost: 6
60: tempo: 0.08610677719116211, nodi: 237, explored_paths: 14, cost: 5
61: tempo: 1.6628069877624512, nodi: 1201, explored_paths: 91, cost: 7
62: tempo: 0.7205829620361328, nodi: 845, explored_paths: 64, cost: 6
63: tempo: 30.101328134536743, nodi: 6893, explored_paths: 628, cost: 8
64: tempo: 1.595418930053711, nodi: 1085, explored_paths: 77, cost: 7
65: tempo: 0.15093755722045898, nodi: 349, explored_paths: 24, cost: 4
66: tempo: 6.5750651359558105, nodi: 2661, explored_paths: 207, cost: 8
67: tempo: 0.27962279319763184, nodi: 477, explored_paths: 32, cost: 6
68: tempo: 0.8854568004608154, nodi: 829, explored_paths: 62, cost: 7
69: tempo: 0.05492424964904785, nodi: 197, explored_paths: 12, cost: 4
70: tempo: 0.011421442031860352, nodi: 81, explored_paths: 6, cost: 5
71: tempo: 0.1630558967590332, nodi: 341, explored_paths: 23, cost: 5
72: tempo: 0.7038388252258301, nodi: 749, explored_paths: 52, cost: 6
73: tempo: 0.48417234420776367, nodi: 621, explored_paths: 49, cost: 7
74: tempo: 0.105804443359375, nodi: 277, explored_paths: 19, cost: 4
75: tempo: 0.12434864044189453, nodi: 297, explored_paths: 19, cost: 6
76: tempo: 0.0750281810760498, nodi: 225, explored_paths: 15, cost: 6
77: tempo: 0.06865262985229492, nodi: 197, explored_paths: 13, cost: 4
78: tempo: 0.0025391578674316406, nodi: 37, explored_paths: 2, cost: 2
79: tempo: 0.01562809944152832, nodi: 97, explored_paths: 6, cost: 4
80: tempo: 0.5800111293792725, nodi: 685, explored_paths: 42, cost: 6
81: tempo: 0.10883522033691406, nodi: 289, explored_paths: 20, cost: 4
82: tempo: 30.935405731201172, nodi: 6193, explored_paths: 483, cost: 7
83: tempo: 0.5630950927734375, nodi: 781, explored_paths: 64, cost: 5
84: tempo: 0.003793478012084961, nodi: 45, explored_paths: 3, cost: 3
85: tempo: 0.48459553718566895, nodi: 597, explored_paths: 45, cost: 5
86: tempo: 0.08400654792785645, nodi: 221, explored_paths: 15, cost: 6
87: tempo: 0.02900409698486328, nodi: 125, explored_paths: 8, cost: 5
88: tempo: 0.05238008499145508, nodi: 169, explored_paths: 10, cost: 4
89: tempo: 1.5838093757629395, nodi: 1113, explored_paths: 76, cost: 7
90: tempo: 0.023981571197509766, nodi: 125, explored_paths: 10, cost: 3
91: tempo: 5.36590051651001, nodi: 2113, explored_paths: 157, cost: 7
92: tempo: 0.15079379081726074, nodi: 381, explored_paths: 33, cost: 4
93: tempo: 1.3904008865356445, nodi: 1073, explored_paths: 73, cost: 6
94: tempo: 0.06732630729675293, nodi: 213, explored_paths: 13, cost: 6
95: tempo: 4.476746082305908, nodi: 2093, explored_paths: 173, cost: 7
96: tempo: 0.03994393348693848, nodi: 169, explored_paths: 11, cost: 6
97: tempo: 5.698081016540527, nodi: 2461, explored_paths: 196, cost: 7
98: tempo: 0.18912339210510254, nodi: 401, explored_paths: 32, cost: 6
99: tempo: 0.01603078842163086, nodi: 101, explored_paths: 6, cost: 4
100: tempo: 0.15295958518981934, nodi: 333, explored_paths: 20, cost: 5
101: tempo: 24.38563561439514, nodi: 5709, explored_paths: 449, cost: 8
102: tempo: 0.024150848388671875, nodi: 125, explored_paths: 9, cost: 5
103: tempo: 0.08128118515014648, nodi: 233, explored_paths: 15, cost: 5
104: tempo: 31.129964590072632, nodi: 6369, explored_paths: 493, cost: 8
105: tempo: 0.004929065704345703, nodi: 53, explored_paths: 4, cost: 4
106: tempo: 0.20233440399169922, nodi: 341, explored_paths: 20, cost: 6
107: tempo: 2.440232038497925, nodi: 1853, explored_paths: 152, cost: 6
108: tempo: 1.0081591606140137, nodi: 941, explored_paths: 65, cost: 6
109: tempo: 1.491633415222168, nodi: 1141, explored_paths: 86, cost: 6
110: tempo: 0.16995739936828613, nodi: 357, explored_paths: 25, cost: 6
111: tempo: 7.077646970748901, nodi: 2581, explored_paths: 201, cost: 7
112: tempo: 0.4716529846191406, nodi: 641, explored_paths: 43, cost: 5
113: tempo: 0.1979215145111084, nodi: 393, explored_paths: 27, cost: 5
114: tempo: 11.441099882125854, nodi: 3301, explored_paths: 252, cost: 7
115: tempo: 2.6938769817352295, nodi: 1649, explored_paths: 126, cost: 7
116: tempo: 0.01910877227783203, nodi: 117, explored_paths: 9, cost: 5
117: tempo: 0.0072591304779052734, nodi: 65, explored_paths: 4, cost: 4
118: tempo: 3.990732431411743, nodi: 2013, explored_paths: 158, cost: 6
119: tempo: 1.5472137928009033, nodi: 1165, explored_paths: 96, cost: 6
120: tempo: 0.5606439113616943, nodi: 681, explored_paths: 46, cost: 5
121: tempo: 11.258292198181152, nodi: 3429, explored_paths: 261, cost: 6
122: tempo: 0.00819706916809082, nodi: 73, explored_paths: 6, cost: 5
123: tempo: 0.45872950553894043, nodi: 629, explored_paths: 41, cost: 6
124: tempo: 4.849220037460327, nodi: 2233, explored_paths: 170, cost: 7
125: tempo: 6.35090446472168, nodi: 2621, explored_paths: 206, cost: 7
126: tempo: 10.33135986328125, nodi: 3149, explored_paths: 224, cost: 7
127: tempo: 0.1575615406036377, nodi: 341, explored_paths: 22, cost: 5
128: tempo: 5.169196844100952, nodi: 2237, explored_paths: 171, cost: 7
129: tempo: 2.4181969165802, nodi: 1757, explored_paths: 135, cost: 6
130: tempo: 1.0842204093933105, nodi: 1005, explored_paths: 70, cost: 7
131: tempo: 0.04700779914855957, nodi: 185, explored_paths: 11, cost: 6
132: tempo: 6.24357271194458, nodi: 2485, explored_paths: 193, cost: 7
133: tempo: 0.2766997814178467, nodi: 485, explored_paths: 39, cost: 6
134: tempo: 0.0336766242980957, nodi: 149, explored_paths: 10, cost: 4
135: tempo: 0.05731916427612305, nodi: 197, explored_paths: 12, cost: 5
136: tempo: 5.154268503189087, nodi: 2341, explored_paths: 185, cost: 6
137: tempo: 27.78849983215332, nodi: 5965, explored_paths: 463, cost: 7
138: tempo: 0.08636999130249023, nodi: 257, explored_paths: 16, cost: 5
139: tempo: 8.713237047195435, nodi: 3301, explored_paths: 246, cost: 7
140: tempo: 1.0076868534088135, nodi: 933, explored_paths: 62, cost: 5
141: tempo: 0.8169128894805908, nodi: 909, explored_paths: 71, cost: 5
142: tempo: 0.25725269317626953, nodi: 457, explored_paths: 35, cost: 5
143: tempo: 0.019849061965942383, nodi: 113, explored_paths: 7, cost: 3
144: tempo: 0.2535398006439209, nodi: 445, explored_paths: 27, cost: 6
145: tempo: 0.9551868438720703, nodi: 917, explored_paths: 63, cost: 6
146: tempo: 0.006457328796386719, nodi: 65, explored_paths: 4, cost: 4
147: tempo: 4.208568334579468, nodi: 1949, explored_paths: 137, cost: 7
148: tempo: 0.08430719375610352, nodi: 249, explored_paths: 16, cost: 6
149: tempo: 5.370936632156372, nodi: 2641, explored_paths: 209, cost: 7
150: tempo: 4.163275957107544, nodi: 2013, explored_paths: 142, cost: 7
151: tempo: 4.934519052505493, nodi: 2297, explored_paths: 181, cost: 7
152: tempo: 0.18571996688842773, nodi: 381, explored_paths: 26, cost: 6
153: tempo: 0.046442270278930664, nodi: 185, explored_paths: 11, cost: 5
154: tempo: 5.6016223430633545, nodi: 2365, explored_paths: 183, cost: 6
155: tempo: 3.440373659133911, nodi: 1769, explored_paths: 121, cost: 7
156: tempo: 0.08189558982849121, nodi: 241, explored_paths: 16, cost: 6
157: tempo: 0.2797200679779053, nodi: 469, explored_paths: 37, cost: 6
158: tempo: 5.965698480606079, nodi: 2489, explored_paths: 194, cost: 7
159: tempo: 0.6270475387573242, nodi: 745, explored_paths: 56, cost: 6
160: tempo: 14.485233306884766, nodi: 4149, explored_paths: 325, cost: 7
161: tempo: 0.00815582275390625, nodi: 69, explored_paths: 4, cost: 4
162: tempo: 0.5295825004577637, nodi: 661, explored_paths: 50, cost: 6
163: tempo: 0.0297391414642334, nodi: 133, explored_paths: 8, cost: 5
164: tempo: 0.05592226982116699, nodi: 197, explored_paths: 14, cost: 5
165: tempo: 0.007936954498291016, nodi: 69, explored_paths: 5, cost: 5
166: tempo: 0.011806488037109375, nodi: 85, explored_paths: 7, cost: 5
167: tempo: 1.710277795791626, nodi: 1381, explored_paths: 118, cost: 7
168: tempo: 0.23040556907653809, nodi: 429, explored_paths: 29, cost: 5
169: tempo: 0.16025185585021973, nodi: 353, explored_paths: 24, cost: 6
170: tempo: 0.08530473709106445, nodi: 237, explored_paths: 14, cost: 6
171: tempo: 0.003226757049560547, nodi: 37, explored_paths: 3, cost: 3
172: tempo: 29.135493993759155, nodi: 6241, explored_paths: 493, cost: 7
173: tempo: 0.009521722793579102, nodi: 77, explored_paths: 5, cost: 4
174: tempo: 1.2016127109527588, nodi: 1069, explored_paths: 85, cost: 7
175: tempo: 1.0439376831054688, nodi: 985, explored_paths: 81, cost: 7
176: tempo: 0.016293764114379883, nodi: 105, explored_paths: 9, cost: 6
177: tempo: 0.09048891067504883, nodi: 249, explored_paths: 17, cost: 5
178: tempo: 6.7455174922943115, nodi: 2753, explored_paths: 213, cost: 8
179: tempo: 2.092534065246582, nodi: 1337, explored_paths: 96, cost: 7
180: tempo: 7.646846532821655, nodi: 2733, explored_paths: 190, cost: 8
181: tempo: 0.297405481338501, nodi: 449, explored_paths: 34, cost: 6
182: tempo: 6.4231226444244385, nodi: 2565, explored_paths: 200, cost: 8
183: tempo: 8.638468503952026, nodi: 3217, explored_paths: 257, cost: 7
184: tempo: 3.6066102981567383, nodi: 1909, explored_paths: 146, cost: 6
185: tempo: 39.415793895721436, nodi: 8069, explored_paths: 650, cost: 8
186: tempo: 0.3603208065032959, nodi: 521, explored_paths: 37, cost: 5
187: tempo: 1.1698637008666992, nodi: 901, explored_paths: 61, cost: 6
188: tempo: 6.200786590576172, nodi: 2401, explored_paths: 195, cost: 6
